"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","498","googleSearchTest()","","Wed Sep 03 23:31:32 IST 2025","broken","Wed Sep 03 23:31:32 IST 2025","","SeleniumTest","SeleniumTest","googleSearchTest"
"","3435","googleTitleTest()","","Thu Sep 04 10:58:02 IST 2025","passed","Thu Sep 04 10:58:06 IST 2025","","SeleniumTest","SeleniumTest","googleTitleTest"
"","188","exampleDotComTest()","","Wed Sep 03 23:31:32 IST 2025","broken","Wed Sep 03 23:31:33 IST 2025","","SeleniumTest","SeleniumTest","exampleDotComTest"
